ROUTENAME,Place,Place_KR,Latitude,Longitude
Full Day Seoul City Tour with K-POP Yeongdong-Daero Concert , Bongeunsa Temple, Bongeunsa Temple,,
Full Day Seoul City Tour with K-POP Yeongdong-Daero Concert , Yeongdong-daero, Yeongdong-daero,,
Gyeongju Maple Tour from Busan ,Busan,Busan,,
Gyeongju Maple Tour from Busan , Bomun Lake, Bomun Lake,,
Gyeongju Maple Tour from Busan , Tongiljeon, Tongiljeon,,
Gyeongju Maple Tour from Busan , Cheomseongdae, Cheomseongdae,,
Gyeongju Maple Tour from Busan , Bulguksa Temple, Bulguksa Temple,,
Gyeongju Maple Tour from Busan , Busan, Busan,,
"Central Mosque, Nami Island and Rail Bike with Sheep Ranch Tour",Seoul,Seoul,,
"Central Mosque, Nami Island and Rail Bike with Sheep Ranch Tour", Gangchon Rail Park, Gangchon Rail Park,,
"Central Mosque, Nami Island and Rail Bike with Sheep Ranch Tour", Nami Island, Nami Island,,
"Central Mosque, Nami Island and Rail Bike with Sheep Ranch Tour", 가평양떼목장카페, 가평양떼목장카페,,
"Central Mosque, Nami Island and Rail Bike with Sheep Ranch Tour", Seoul Central Mosque, Seoul Central Mosque,,
"Central Mosque, Nami Island and Rail Bike with Sheep Ranch Tour", Seoul, Seoul,,
Full Day Tour in Nami Island Sansa Garden and Gangchon Rail Park,Seoul,Seoul,,
Full Day Tour in Nami Island Sansa Garden and Gangchon Rail Park, Gangchon Rail Park, Gangchon Rail Park,,
Full Day Tour in Nami Island Sansa Garden and Gangchon Rail Park, Nami Island, Nami Island,,
Full Day Tour in Nami Island Sansa Garden and Gangchon Rail Park, Traditional Liquor Museum Sansawon, Traditional Liquor Museum Sansawon,,
Full Day Tour in Nami Island Sansa Garden and Gangchon Rail Park, Seoul, Seoul,,
Fantasia Daegu Festa Tour ,Gasan Supia,Gasan Supia,,
Fantasia Daegu Festa Tour , Dongseong-ro Spark, Dongseong-ro Spark,,
Fantasia Daegu Festa Tour , Daegu, Daegu,,
Fantasia Daegu Festa Tour , Gasan Supia, Gasan Supia,,
Fantasia Daegu Festa Tour , Dongseong-ro Spark, Dongseong-ro Spark,,
Fantasia Daegu Festa Tour , Daegu, Daegu,,
Yeoncheon Tour with Welcome Daehakro Opening Ceremony,132,132,,
Yeoncheon Tour with Welcome Daehakro Opening Ceremony, JaeIn Waterfall, JaeIn Waterfall,,
Yeoncheon Tour with Welcome Daehakro Opening Ceremony, Daehak-ro, Daehak-ro,,
Yeoncheon Tour with Welcome Daehakro Opening Ceremony, 132, 132,,
Yeoncheon Tour with Welcome Daehakro Opening Ceremony, JaeIn Waterfall, JaeIn Waterfall,,
Yeoncheon Tour with Welcome Daehakro Opening Ceremony, Daehak-ro, Daehak-ro,,
Wearing Hanbok Walking Tour in Bukchon with Liquor Tasting,Changdeokgung Palace,Changdeokgung Palace,,
Wearing Hanbok Walking Tour in Bukchon with Liquor Tasting, Bukchon Hanok Village, Bukchon Hanok Village,,
Wearing Hanbok Walking Tour in Bukchon with Liquor Tasting, Bukchon Hanok Village, Bukchon Hanok Village,,
Kids Friendly Seoul Tour with Welcome Daehakro - Pyeongtaek,Changdeokgung Palace,Changdeokgung Palace,,
Kids Friendly Seoul Tour with Welcome Daehakro - Pyeongtaek, 215, 215,,
Kids Friendly Seoul Tour with Welcome Daehakro - Pyeongtaek, Daehak-ro, Daehak-ro,,
Kids Friendly Seoul Tour with Welcome Daehakro - Pyeongtaek, Changdeokgung Palace, Changdeokgung Palace,,
Kids Friendly Seoul Tour with Welcome Daehakro - Pyeongtaek, 215, 215,,
Kids Friendly Seoul Tour with Welcome Daehakro - Pyeongtaek, Daehak-ro, Daehak-ro,,
Scenic Jiri Mountain Autumn Foliage One Day Tour,Jirisan National Park,Jirisan National Park,,
Cheapest Korea Ski Tour with the Dazzling Snow,Cosmo. Jin Tour - Day Tours,Cosmo. Jin Tour - Day Tours,,
Ski tour & Nami Island,Cosmo. Jin Tour - Day Tours,Cosmo. Jin Tour - Day Tours,,
 Odaesan National Park Autumn Foliage Tour,Odaesan National Park,Odaesan National Park,,
 Odaesan National Park Autumn Foliage Tour, Woljeongsa Temple, Woljeongsa Temple,,
"Seoul Central Mosque, Nami Island and Petite France Tour",Seoul,Seoul,,
"Seoul Central Mosque, Nami Island and Petite France Tour", Petite France, Petite France,,
"Seoul Central Mosque, Nami Island and Petite France Tour", Nami Island, Nami Island,,
"Seoul Central Mosque, Nami Island and Petite France Tour", Seoul Central Mosque, Seoul Central Mosque,,
"Seoul Central Mosque, Nami Island and Petite France Tour", Seoul, Seoul,,
Busan Private Hiking Tour : Panoramic Views Awaits,Beomeosa Temple,Beomeosa Temple,,
Busan Private Hiking Tour : Panoramic Views Awaits, Geumjeongsan Mountain, Geumjeongsan Mountain,,
Busan Private Hiking Tour : Panoramic Views Awaits, Cheongnyongyejeon-ro 99beon-gil, Cheongnyongyejeon-ro 99beon-gil,,
"Full Day Tour in Nami, Sansa Garden and Garden of Morning Clam",Seoul,Seoul,,
"Full Day Tour in Nami, Sansa Garden and Garden of Morning Clam", Nami Island, Nami Island,,
"Full Day Tour in Nami, Sansa Garden and Garden of Morning Clam", The Garden of Morning Calm, The Garden of Morning Calm,,
