name,x,y
천안아산상생협력센터도서관,127.0987684,36.7930513
먹보네,127.1242796,36.7961392
우리집,127.1242357,36.7965225
불스 떡볶이,127.1241766,36.7965354
시온교회,127.1243376,36.796486
비전 교회,127.1227443,36.7969284
,127.1238982,36.7969273
온양온천,127.0031561,36.7805526
,127.1195696,36.785675
,127.1232232,36.4648346
,127.133353,36.4686938
탕정,127.0845547,36.7882137
,127.1050235,36.7823348
,127.1425166,36.47865
,127.1406525,36.4786371
,127.1388351,36.463784
,127.1394783,36.4636352
종합버스터미널,127.1349333,36.4680008
용주정,127.1488968,36.7991802
,127.0635436,36.7970318
송림한식,127.136541,36.8024644
다방2리마을회관,127.1743641,36.5974769
,127.1592297,36.5785148
,127.1414102,36.7997622
추모공원,127.1177988,36.6639583
탕정역건너,127.0848335,36.7889097
탕정역,127.0850063,36.7886666
,127.1277082,36.4610221
,127.1423515,36.4573445
,127.1286514,36.4607568
,127.1445425,36.4563225
일심유치원,127.0861739,36.7681059
GS칼텍스 KTX주유소,127.0933567,36.798385
천안 영남루,127.1671512,36.7838651
삼흥주유소,127.1680264,36.7857564
우리주유소,127.1469704,36.7882392
SK행복충전 청수충전소,127.1467227,36.7877089
남산주유소,127.1487782,36.7980101
119 청당안전센터,127.1562138,36.7857844
스타벅스,127.157544,36.7857551
,127.1482232,36.798601
사직천안종합약국,127.1497016,36.8005868
KB국민은행 천안지점,127.1501865,36.8022372
동신주유소,127.1476775,36.7893761
숟가락반상 마실 천안본점,127.1142931,36.79015
주우리교회,127.1145218,36.7888238
한암사 천안불교문화원,127.113929,36.791387
천안농협주유소 원성동지점,127.1532504,36.7998749
,127.1790641,36.775484
혜성 분만문화센터,127.1305805,36.8009732
혜성 산부인과병원,127.1305053,36.8008004
조리고 다가동본점,127.1371007,36.8005489
연세우일치과병원,127.1265477,36.7985546
새샘치과의원,127.1334494,36.7739376
천안본정형외과,127.1257115,36.7997395
신한은행 천안지점,127.1566328,36.7852976
신통이진소아청소년과의원,127.1342548,36.7748638
누리정형외과의원,127.1519826,36.7985922
공차,127.1549504,36.7828775
진정형외과,127.1529862,36.7972232
할리스커피 동천안우체국점,127.1549206,36.783899
,127.1259067,36.4709594
,127.1341625,36.4844693
,127.1350081,36.4909803
수촌1리(신촌마을),127.132662,36.5221302
,127.1323127,36.522219
,127.1308542,36.5741742
,127.1293407,36.5744259
,127.1215139,36.6120558
,127.1196958,36.6395852
,127.1158788,36.6865201
,127.1285531,36.7252021
,127.1442885,36.7300566
,127.1378646,36.7260711
,127.1400131,36.7255963
,127.1434446,36.7347895
,127.1445739,36.7310136
